TOT_POP,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,POP_ESTIMATE_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),ICU Beds_x,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
18217,2005,1898,1839,2209,2659,2708,1970,720,17801,58,4,18217,2570,5638,2795,3701,7162,6863,299,6.689423206,0,17940,5028,14389,7779,5525,2103,2380,601,1709
41890,4318,5738,4363,4880,5611,5686,3844,1891,38296,414,34,41890,3616,11350,7516,6335,19948,19276,672,15.38233178,10,41397,10550,33483,15141,10614,3502,4427,1123,3080
49045,6383,5579,6029,6034,6455,5730,3933,2315,39042,152,12,49045,5027,12900,9379,7904,21436,20481,955,18.00970309,3,49222,11692,37118,20048,14736,4154,5611,1356,3538
29503,3333,3559,3167,3424,4404,3908,2719,1351,25504,148,13,29503,3016,9065,5393,4160,15194,14637,557,10.83372964,6,29024,7499,23260,11774,8188,2668,3375,835,2232
23145,2375,2510,2439,3024,3542,3313,2300,865,22480,59,14,23145,3471,7278,4023,4211,9417,9045,372,8.499022897,0,22942,6025,18441,9842,6897,2444,2806,696,1957
69087,6763,8013,7292,8786,10074,9643,7031,3265,65976,355,60,69087,8117,20945,12752,10146,29829,28453,1376,25.3692804,6,68520,18918,55729,31390,20174,7005,8605,2084,5871
13346,1494,1538,1470,1664,1818,1734,1374,605,12963,51,1,13346,2274,3936,1997,2787,4886,4670,216,4.900754356,0,13359,3484,10469,5769,4041,1519,1707,428,1204
64569,7935,7820,7465,8373,8818,7433,5574,2797,59000,689,0,64569,8179,17576,10870,10883,27421,26371,1050,23.71023588,20,63465,14917,49668,26600,18129,5936,7211,1806,4888
14523,331,374,532,389,1635,488,246,296,2795,31,0,14523,396,516,563,502,2693,1126,31,133.7686349,215,354589,81748,288641,136261,104777,25824,37343,9103,22389
6549,715,721,708,775,949,1040,584,296,6368,13,3,6549,1134,2039,1059,1912,2031,1928,103,2.40484342,0,6605,1714,5187,2853,1971,767,857,214,610
25220,2638,3570,3457,3134,3413,3086,2067,1030,13947,190,5,25220,3806,8659,3647,5025,9196,8737,459,9.260978935,0,25784,6150,20281,11830,8721,2473,3641,825,2064
25776,2808,2810,2601,3065,3643,3714,2756,1383,24214,140,8,25776,3647,7969,4378,5149,10387,9932,455,9.465146433,0,25813,7483,20477,11021,7884,2698,3247,810,2278
56530,5624,6319,5961,7298,8515,7937,5561,2536,54499,271,13,56530,6637,17551,10768,10252,23706,22760,946,20.75825294,6,56402,14964,45290,21840,15308,5757,6735,1688,4708
